id,text,liked_part,rec_part,original_rating,original_sentiment,verified_sentiment,changed,rationale
0,The teacher was engaging More group time to work on group activities,The teacher was engaging,More group time to work on group activities,4.9091,positive,positive,False,Positive experience with minor constructive feature suggestion.
1,Teaching was on time More quizes,Teaching was on time,More quizes,5.0,positive,positive,False,Consistent with original label.
2,"Well detailed notes
Well explained concepts More clear instructions given out during the lab work","Well detailed notes
Well explained concepts",More clear instructions given out during the lab work,3.4545,negative,neutral,True,Praise for notes combined with constructive recommendation for clearer lab instructions.
3,The Lab works and Quizes More engaging lessons,The Lab works and Quizes,More engaging lessons,3.6364,negative,negative,False,Consistent with original label.
4,Interactive teaching and use of analogies Everything's seemingly fine,Interactive teaching and use of analogies,Everything's seemingly fine,4.6364,positive,positive,False,Consistent with original label.
5,Calm class Introduce small class engagements and all,Calm class,Introduce small class engagements and all,3.0,negative,neutral,True,Neutral descriptive observation.
6,"It is involving and practical
Relevant in real life application","It is involving and practical
Relevant in real life application",,4.3636,neutral,positive,True,Enthusiastic positive praise for real-world practical relevance.
7,"relation of content with application to the real world. probably less group work, more individual tasks to push someone to further explore on a certain matter.",relation of content with application to the real world.,"probably less group work, more individual tasks to push someone to further explore on a certain matter.",4.4545,neutral,neutral,False,Consistent with original label.
8,"I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs","I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained","During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",4.5455,neutral,positive,True,Positive praise regarding course structure with no complaints.
9,Data science and Data analysis,Data science and Data analysis,,4.6364,positive,neutral,True,Topic listing without sentiment modifier.
10,"Learning kmeans
Learning APIs Please have make up CATS because things genuinely happen and it's so unfair to the affected parties","Learning kmeans
Learning APIs",Please have make up CATS because things genuinely happen and it's so unfair to the affected parties,4.0909,neutral,neutral,False,Factual topic listing or single ambiguous keyword without sentiment polarity.
11,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it","The lecture was very practical, a clear separation of theory and the practical to further reinforce learning","Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",4.6364,positive,positive,False,Positive experience with minor constructive feature suggestion.
12,The mode of content delivery and assessment More quizzes,The mode of content delivery and assessment,More quizzes,4.3636,neutral,neutral,False,Consistent with original label.
13,"I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering","I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves","More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",3.3636,negative,negative,False,Technical complaint regarding university machines crashing on data engineering labs.
14,The merging between practical and theoretical knowledge A project with a real business scenario through out the modules to help understand business intelligence real life activities,The merging between practical and theoretical knowledge,A project with a real business scenario through out the modules to help understand business intelligence real life activities,3.2727,negative,negative,False,Consistent with original label.
15,The content delivery and overall flow of content Reducing the number of lab submissions made throughout the semester,The content delivery and overall flow of content,Reducing the number of lab submissions made throughout the semester,3.8182,negative,negative,False,Consistent with original label.
16,"Very Practical Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",Very Practical,"Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",3.4545,negative,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
17,"I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides I would like more analogies used when teaching.","I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides",I would like more analogies used when teaching.,4.5455,neutral,neutral,False,Consistent with original label.
18,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class Reduced number of slides,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class,Reduced number of slides,4.7273,positive,positive,False,Consistent with original label.
19,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.","I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first",Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.,4.2727,neutral,neutral,False,Consistent with original label.
20,The method of explaining concepts No recommendations,The method of explaining concepts,No recommendations,4.9091,positive,positive,False,Consistent with original label.
21,"1.How practical the module was 
2.The group work helped me improve my collaboration skills","1.How practical the module was 
2.The group work helped me improve my collaboration skills",,3.7273,negative,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
