timestamp,consent,a_1_student_id,a_2_gender,a_3_class_group,b_1_i_enjoyed_the_course,b_2_classes_started_and_ended_on_time,b_3_participative_learning_environment,b_4_subject_content_delivered_according_to_course_outline_and_my_expectations,b_5_topics_were_clear_and_logically_developed,b_6_developed_my_oral_and_writing_skills,b_7_developed_my_reflective_and_critical_reasoning_skills,b_8_the_assessment_methods_assisted_me_to_learn,b_9_received_relevant_feedback,b_10_read_recommended_readings_and_notes,b_11_used_the_elearning_material_posted,c_1_principles_of_business_intelligence_and_the_dataops_philosophy,c_2_data_engineering_and_data_analytics,c_3_dashboarding_for_business-facing_and_customer-facing_analytics,c_4_regression_and_classification,c_5_clustering_and_association_rule_mining,c_6_serving_ml_models_through_a_restish_api_using_flask_in_python,c_7_time-series_analysis_time-series_forecasting_and_neural_networks,c_8_natural_language_processing,d_1_python_as_a_programming_language,d_2_vs_code_and_pycharm_for_coding_in_python,d_3_r_as_a_programming_language,d_4_r_studio_for_coding_in_r,d_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows,d_6_git_and_github,d_7_docker_for_containerization,d_8_power_bi_for_data_visualization,d_9_dbeaver_and_datagrip_for_data_management,d_10_postman_for_api_testing,d_11_flask_and_gunicorn_for_serving_ml_models,d_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files,d_13_slack_for_casual_communication_with_a_data_team,e_1_group_work,e_2_quizzes_at_the_end_of_each_module,e_3_lab_manuals,e_4_required_lab_work_submissions_at_the_end_of_each_module,e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone,e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline,e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic,e_8_supplementary_content_to_read,e_9_lecture_slides_used_during_the_class,e_10_lecture_notes_on_some_of_the_lecture_slides,e_11_the_quality_of_the_lectures_given,e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes,f_1_In_your_opinion_which_topics_(if_any)_should_be_added_to_the_Business_Intelligence_I_and_II_curriculum,f_2_In_your_opinion_which_topics_(if_any)_should_be_removed_from_the_Business_Intelligence_I_and_II_curriculum,f_3_Write_at_least_two_things_you_liked_about_the_teaching_and_learning_in_this_course,f_4_Write_at_least_one_recommendation_to_improve_the_teaching_and_learning_in_this_course_(for_future_classes),average_course_evaluation_rating,sentiment,average_level_of_learning_attained_rating,average_level_of_skills_and_competencies_rating,average_pedagogical_strategy_effectiveness_rating,absenteeism_percentage,text,clean_topic_text,dominant_topic,topic_probability,topic_label,clean_sentiment_text,predicted_sentiment,sentiment_confidence
06-11-25 8:19,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",1,Male,Group A,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,2,2,3,2,1,3,1,3,1,1,1,1,1,4,4,4,4,5,4,4,4,4,4,4,4,,,The teacher was engaging,More group time to work on group activities,4.9091,positive,4.0,1.6923,4.0833,40.91,The teacher was engaging More group time to work on group activities,the teacher was engaging more group time to work on group activities,1,0.8844711293075294,Teaching Quality and Engagement,teacher engaging group time work group activity,positive,0.489
06-11-25 8:20,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",2,Male,Group A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Nothing,,Teaching was on time,More quizes,5.0,positive,5.0,4.0,4.0,9.09,Teaching was on time More quizes,teaching was on time more quizes,1,0.3992251254823654,Teaching Quality and Engagement,teaching time quiz,positive,0.4926
06-11-25 8:21,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",3,Male,Group A,3,4,3,4,4,3,4,3,4,2,4,3,2,3,2,4,3,4,3,3,2,4,3,4,2,5,3,2,3,2,3,3,4,2,3,5,3,3,4,2,5,2,5,5,,,"Well detailed notes
Well explained concepts",More clear instructions given out during the lab work,3.4545,negative,3.0,3.0,3.5833,13.64,"Well detailed notes
Well explained concepts More clear instructions given out during the lab work",well detailed notes well explained concepts more clear instructions given out during the lab work,4,0.932112825830356,Assessment Methods and Feedback,well detailed note well explained concept clear instruction given lab work,positive,0.4443
06-11-25 8:21,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",4,Male,Group A,4,4,4,4,4,2,4,4,4,3,3,4,4,4,4,4,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,3,4,4,,,The Lab works and Quizes,More engaging lessons,3.6364,negative,4.375,4.6154,4.3333,13.64,The Lab works and Quizes More engaging lessons,the lab works and quizes more engaging lessons,4,0.8652200418831527,Assessment Methods and Feedback,lab work quiz engaging lesson,positive,0.3675
06-11-25 8:23,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",5,Male,Group A,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,5,5,5,3,3,2,2,1,3,3,2,3,3,2,2,1,1,3,3,3,3,3,3,2,2,3,3,2,3,,,Interactive teaching and use of analogies,Everything's seemingly fine,4.6364,positive,4.25,2.1538,2.75,18.18,Interactive teaching and use of analogies Everything's seemingly fine,interactive teaching and use of analogies everything s seemingly fine,3,0.8390262701149621,Learning Resources and Materials,interactive teaching use analogy everything seemingly fine,positive,0.4696
06-11-25 8:25,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",6,Male,Group A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,Calm class,Introduce small class engagements and all,3.0,negative,3.0,3.0,3.0,22.73,Calm class Introduce small class engagements and all,calm class introduce small class engagements and all,1,0.7322500960707147,Teaching Quality and Engagement,calm class introduce small class engagement,neutral,0.4706
06-11-25 8:25,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",7,Male,Group A,4,5,5,5,5,3,4,5,4,4,4,4,4,4,3,4,3,4,2,4,4,3,4,5,5,3,5,4,3,3,3,3,4,5,5,4,5,4,4,3,4,4,5,4,,,"It is involving and practical
Relevant in real life application",,4.3636,neutral,3.5,3.7692,4.25,4.55,"It is involving and practical
Relevant in real life application ",it is involving and practical relevant in real life application,4,0.8648817059239087,Assessment Methods and Feedback,involving practical relevant real life application,positive,0.5232
06-11-25 8:25,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",8,Male,Group A,4,5,4,5,5,4,5,4,4,5,4,4,4,4,3,4,4,3,2,4,5,2,2,3,5,3,4,2,3,2,2,5,3,5,5,4,4,3,3,2,4,4,5,4,"would require more research, not sure of what may be added.","none, i believe all topics so far are relevant to the unit",relation of content with application to the real world.,"probably less group work, more individual tasks to push someone to further explore on a certain matter.",4.4545,neutral,3.5,3.2308,3.8333,18.18,"relation of content with application to the real world. probably less group work, more individual tasks to push someone to further explore on a certain matter.",relation of content with application to the real world probably less group work more individual tasks to push someone to further explore on a certain matter,0,0.9370655643261072,Course Content and Structure,relation content application real world probably le group work individual task push someone explore certain matter,neutral,0.501
06-11-25 8:26,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",9,Male,Group A,5,5,5,5,5,3,4,5,5,4,4,5,4,5,3,4,4,5,3,4,5,3,3,4,5,3,4,3,3,4,4,4,5,4,5,5,5,4,5,4,5,5,5,5,"In my opinion, the topics covered are sufficient. They cover practically everything we need to know for business intelligence at this current level. Although I would have loved to spend more time on time-series analysis and forecasting","In my opinion, I don't think any topics should be removed","I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained","During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",4.5455,neutral,4.125,3.7692,4.75,13.64,"I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",i liked the split between the practicals and theory gave a good way to practice was we learnt in the theory lessons helping retain the information and understanding i also liked the structure of how the topics were arranged everything was very clear and well explained during the labs i didn t like the fact that due to the difference in systems some labs couldn t be done by everyone for example personally i couldn t do much of the docker labs,4,0.9728887832852602,Assessment Methods and Feedback,liked split practicals theory gave good way practice learnt theory lesson helping retain information understanding also liked structure topic arranged everything clear well explained lab not like fact due difference system lab could not done everyone example personally could not much docker lab,positive,0.4443
06-11-25 8:26,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",10,Male,Group A,5,5,5,5,5,4,4,5,5,5,3,5,5,4,4,5,5,3,1,4,5,5,5,5,5,4,5,4,5,5,2,3,4,5,5,5,4,5,3,1,5,5,5,5,,,Data science and Data analysis,,4.6364,positive,4.0,4.3846,4.3333,9.09,Data science and Data analysis ,data science and data analysis,1,0.799109066717908,Teaching Quality and Engagement,data science data analysis,positive,0.3818
