id,text,sentiment,category,rationale
supp_neg_001,"The professor spoke too fast, skipped key derivations, and dismissed questions during lecture.",negative,teaching_quality,"Clear dissatisfaction with teaching pace, explanation depth, and student interaction."
supp_neg_002,"The lab instructions were disorganized, outdated, and full of broken links and syntax errors.",negative,labs,Explicit criticism of lab material quality and lack of maintenance.
supp_neg_003,Grading rubrics were extremely vague and assignments took over two months to be returned.,negative,assessment,Strong dissatisfaction with unfair evaluation standards and delayed feedback.
supp_neg_004,The lecture slides were overwhelming with over 150 dense text-heavy slides per session.,negative,materials,Severe complaint regarding unmanageable slide volume and poor pedagogical presentation.
supp_neg_005,The virtual machine environment kept crashing and we received no technical support during the lab.,negative,infrastructure,Technical failure obstructing learning without adequate teaching assistance.
supp_neg_006,Teaching assistants were unhelpful and never responded to questions posted on the discussion forum.,negative,communication,Explicit grievance regarding unavailable and unsupportive teaching staff.
supp_neg_007,The workload was completely unreasonable with three major project deadlines falling in the same week.,negative,pacing,Severe scheduling issue causing excessive student stress and unmanageable workload.
supp_neg_008,Exams tested minor footnotes rather than the core analytical principles taught during lectures.,negative,assessment,Unfair assessment alignment that contradicts learning objectives.
supp_neg_009,The lecturer frequently arrived 20 minutes late and cancelled multiple office hour sessions.,negative,teaching_quality,Unprofessional attendance and lack of student availability.
supp_neg_010,The code samples provided did not run on Python 3 and had missing dependency instructions.,negative,materials,Defective educational resources hindering assignment completion.
supp_neg_011,Very poor explanation of neural networks and time series analysis. I was completely lost.,negative,teaching_quality,Direct expression of confusion caused by deficient instructional delivery.
supp_neg_012,Group assignments were unfair because free-riders received identical marks without contributing.,negative,assessment,Systemic inequity in group grading policy.
supp_neg_013,Audio quality in the recorded lectures was awful with constant background noise and echo.,negative,materials,Unusable multimedia resources impairing study.
supp_neg_014,The textbook was mandatory and expensive but never actually referenced or used in class.,negative,materials,Unnecessary financial burden with zero pedagogical utility.
supp_neg_015,Not enough time was given to finish the coding exam and the server crashed during submission.,negative,assessment,High-stakes testing malfunction and unreasonable time constraint.
supp_neg_016,I felt unprepared for the real world because practical coding was barely covered.,negative,curriculum,Disappointment with excessive theory and lack of practical skill development.
supp_neg_017,The feedback on my essay was just a grade with zero written comments or explanation.,negative,assessment,Absence of formative feedback preventing student learning.
supp_neg_018,Lectures were monotonous and simply reading bullet points off the slides with no enthusiasm.,negative,teaching_quality,Lack of engagement and ineffective pedagogical delivery.
supp_neg_019,Prerequisites were not clearly communicated and the math background assumed was too advanced.,negative,curriculum,Misleading course requirements leading to extreme student struggle.
supp_neg_020,The course felt like a disorganized crash course where topics were randomly thrown together.,negative,course_structure,Lack of coherent syllabus progression and thematic structure.
supp_neg_021,The database lab server was constantly down during peak submission hours.,negative,infrastructure,Unreliable lab infrastructure severely impacting student deliverables.
supp_neg_022,Not worth the tuition fees; the content can easily be learned on free YouTube tutorials.,negative,general,Low perceived course value and quality.
supp_neg_023,The instructor was dismissive of student difficulties and refused to clarify assignment requirements.,negative,teaching_quality,Unsupportive educator behavior creating a hostile learning environment.
supp_neg_024,Too much theory and unnecessary derivations without ever demonstrating how to apply them in code.,negative,curriculum,Imbalance toward non-practical content.
supp_neg_025,The final exam contained questions from topics explicitly excluded from the revision outline.,negative,assessment,Breach of syllabus guidelines in formal evaluation.
supp_pos_001,The professor gave fantastic lectures with intuitive explanations and real-world industrial case studies.,positive,teaching_quality,Enthusiastic praise for instructional clarity and practical industry relevance.
supp_pos_002,Hands-on Docker and Power BI lab sessions were extremely engaging and deepened my understanding.,positive,labs,Strong positive appraisal of technical tool mastery and practical exercises.
supp_pos_003,"Teaching assistants provided prompt, thorough, and highly encouraging feedback on all assignments.",positive,communication,Appreciation for supportive mentorship and quality feedback.
supp_pos_004,"The course materials were exceptionally well structured, concise, and easy to navigate.",positive,materials,High satisfaction with syllabus organization and document design.
supp_pos_005,I really enjoyed how theory in morning sessions was immediately reinforced with afternoon coding labs.,positive,course_structure,Praise for pedagogical alignment between theoretical concepts and practical application.
supp_pos_006,Clear grading criteria and helpful rubrics made expectations transparent and fair from day one.,positive,assessment,Appreciation for fair and transparent grading.
supp_pos_007,The instructor fostered an inclusive and highly participative classroom atmosphere where everyone felt comfortable.,positive,teaching_quality,Praise for positive learning culture and student engagement.
