id,text,sentiment,source,rationale
orig_comb_0,The teacher was engaging More group time to work on group activities,positive,original_survey_combined,Combined student survey response
orig_comb_1,Teaching was on time More quizes,positive,original_survey_combined,Combined student survey response
orig_comb_2,"Well detailed notes
Well explained concepts More clear instructions given out during the lab work",neutral,original_survey_combined,Combined student survey response
orig_comb_3,The Lab works and Quizes More engaging lessons,negative,original_survey_combined,Combined student survey response
orig_comb_4,Interactive teaching and use of analogies Everything's seemingly fine,positive,original_survey_combined,Combined student survey response
orig_comb_5,Calm class Introduce small class engagements and all,neutral,original_survey_combined,Combined student survey response
orig_comb_6,"It is involving and practical
Relevant in real life application",positive,original_survey_combined,Combined student survey response
orig_comb_7,"relation of content with application to the real world. probably less group work, more individual tasks to push someone to further explore on a certain matter.",neutral,original_survey_combined,Combined student survey response
orig_comb_8,"I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",positive,original_survey_combined,Combined student survey response
orig_comb_9,Data science and Data analysis,neutral,original_survey_combined,Combined student survey response
orig_comb_10,"Learning kmeans
Learning APIs Please have make up CATS because things genuinely happen and it's so unfair to the affected parties",neutral,original_survey_combined,Combined student survey response
orig_comb_11,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",positive,original_survey_combined,Combined student survey response
orig_comb_12,The mode of content delivery and assessment More quizzes,neutral,original_survey_combined,Combined student survey response
orig_comb_13,"I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",negative,original_survey_combined,Combined student survey response
orig_comb_14,The merging between practical and theoretical knowledge A project with a real business scenario through out the modules to help understand business intelligence real life activities,negative,original_survey_combined,Combined student survey response
orig_comb_15,The content delivery and overall flow of content Reducing the number of lab submissions made throughout the semester,negative,original_survey_combined,Combined student survey response
orig_comb_16,"Very Practical Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",neutral,original_survey_combined,Combined student survey response
orig_comb_17,"I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides I would like more analogies used when teaching.",neutral,original_survey_combined,Combined student survey response
orig_comb_18,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class Reduced number of slides,positive,original_survey_combined,Combined student survey response
orig_comb_19,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.",neutral,original_survey_combined,Combined student survey response
orig_comb_20,The method of explaining concepts No recommendations,positive,original_survey_combined,Combined student survey response
orig_comb_21,"1.How practical the module was 
2.The group work helped me improve my collaboration skills",positive,original_survey_combined,Combined student survey response
orig_comb_22,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes. There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",neutral,original_survey_combined,Combined student survey response
orig_comb_23,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",neutral,original_survey_combined,Combined student survey response
orig_comb_24,The journals and quizzes Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,negative,original_survey_combined,Combined student survey response
orig_comb_25,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs. The slides could be more organised to make it easier to go through",positive,original_survey_combined,Combined student survey response
orig_comb_26,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics I have none",positive,original_survey_combined,Combined student survey response
